id,text,file,node,lineNumber
line:094677a,"Novel: People are mortal. Gu ignores Niu Chunlan's words, not willing to play this word game anymore. 'Did you kill her, for the sake of Postgraduation Recommendation? As far as I know, your grades were too poor to get one.'",roommateroute,runepaper,137
line:0d85324,"Novel: Postgraduation Recommendation is like a weird switch, which turns Niu Chunlan silent. As Niu keeps being silent, the whole room darkens, making Gu Gugu a little cold.",roommateroute,runepaper,138
line:0c5ffdb,"Novel: For a long while Niu does not speak. Gu Gugu is not in a hurry. She has a lot of time anyway, all she has to do is wait here, and Niu Chunlan will say it eventually. This is her first case, solved easily, which means she IS a talented detective. This is only the first step. In the future, she will solve more cases, become more powerful, more famous, she will--",roommateroute,runepaper,139
line:05ec109,"Novel: 'So you all think so? Everyone at school are saying I can do anything for the Postgraduation Recommendation.' Niu Chunlan starts to speak, 'It's true that I want to get into grad school, but it's not worth killing people for this. Though Zhudi was annoying... She stole things you know? She stole Xiong Tian's lotion, so disgusting...'Niu Chunlan whispers down, while Gu becomes more excited. How did she do it? Poison? Where is Zhudi's body hidden? She seems weak, so it's possible that there's somebody helping her...",roommateroute,runepaper,140
line:0364709,"Novel: 'Short after she moved out she started to send messages, like she felt she was falling down, like she was wrong, she wanted to move back. Who the hell knew what she was talking about. I thought she was being crazy... Falling down, who knows what that means.' After such nonsense, Gu Gugu becomes impatient. Niu should get to the point, the key point! Besides, isn't this place becoming increasingly cold? Forget it, put up with Niu for several more minutes, then she can solve the case.",roommateroute,runepaper,141
line:021779e,"Novel: 'She came back one day. I didn't want to talk to her, so I ignored her. Then she chased me behind, apologizing. I was so annoyed! I went on and then--'",roommateroute,runepaper,142
line:0e7140d,"Novel: 'And then?' This must be the key point, Gu Gugu's eyes light up, staring at Niu, encouraging her to continue.",roommateroute,runepaper,143
line:081a6dc,"Novel: In seeing Gu's eyes, Niu Chunlan pauses and grins. The smile floats shallowly on her face, with a bit shadow inside. 'Then, I heard a very heavy noise, looking back, she's gone. There's nothing but a pit on the ground. I was quite afraid something would happen to her, so I walked down--Guess what? There's no one in the pit. And then Zhudi's gone. End of story.'",roommateroute,runepaper,144
line:06a7639,"Novel: 'What? You made up the story to fool me?' Gu's detective dream breaks, because of this illogical story.",roommateroute,runepaper,145
line:07ae383,"Novel: 'I knew you won't believe. But that's the truth, what can I do about it?' Niu raises her head and look up at the direction of the ceiling, as if she feels something. She picks up the book for Postgraduation English Exam. 'Did you know? I couldn't past the exam because my English was poor. Really, really, only a few points from passing...' She opens the book to read, leaving Gu Gugu alone.",roommateroute,runepaper,146
line:008527b,"Novel: Gu Gugu has no idea how to react. Niu Chunlan was obviously lying. Gu Gugu was teased. The murderer taunted her, but she--the Great Detective Gu Gugu, had no choice but to listen. Almost, almost, the case was almost solved! The long lack of sleep combining with the upwelling mood crushed Gu completely. Her world goes dark, and mosaic-like markings start to appear. Gu pretends to becalm, holding on to Zhudi's desk to keep balance. Wait, what's this touch? She comes across something sticky, slippery, like slime on the skin of some creature. She fixes her eyes and sees the shadow on Zhudi's table. No, it's not a shadow, it's something more dark, slowly surging, spreading out, little by little. 'Ah--' She screams.",roommateroute,runepaper,147
line:0de1623,"Novel: Niu Chunlan, who has been secretly watching her, smiles. This time, it's a sincere smile.",roommateroute,runepaper,148
line:0b3bd8b,"Novel: Gu Gugu looks up. Niu is still holding the English textbook, but what's that above her head--some liquid ticking down from the ceiling. Look around, the iron frame bed, the desk, the window, little by little, they melts, deforms, sticks to the wall, solidifies into something sharp--teeth? Are those teeth? Before she can think about it, Gu Gugu sees the ceiling--if it is still ceiling--quickly falls down to herself.",roommateroute,runepaper,149
line:0458602,Novel: ...,roommateroute,runepaper,151
line:0abcbae,"Novel: 'Today's news: university dormitory collapsed, killing two people.'",roommateroute,runepaper,152
line:0a5ee21,Novel: The End.,roommateroute,runepaper,153
